pi_name,submissions,institute,nih_grant_count,nih_total_funding,nsf_award_count,nsf_total_funding,nih_grant_numbers,nsf_award_ids
Christopher Donnelly,1,"Department of Neurobiology, University of Pittsburgh School of Medicine",37,31602725,0,0,UC2AR082197; UC2AR082197; RF1AG090910; R01NS127187; R01NS127187; R01NS127187; R01NS127187; R01NS127187; R01DE031053; R01DE031053; R01DE031053; R01DE031053; R01DE032227; T32NS086749; R01DE032227; R01DE032227; R01DE032227; R21NS133676; R01NS105756; R01NS105756; R01NS105756; R01NS105756; R01NS105756; R01DE026728; R21NS098379; R21NS141767; R21NS100055; R21AG064940; R21NS098379; R21NS100055; R21NS141767; R21AG064940; F30DE023479; F30DE023479; F30DE023479; R01NS105756; F30DE023479,
Kit Lam,2,"Department of Biochemistry and Molecular Medicine, UC Davis",50,29693218,0,0,R44CA257683; U19CA113298; U19CA113298; U19CA113298; U19CA113298; U19CA113298; R01MH138582; UG3TR002866; R44CA257683; UG3TR002866; UG3TR002866; U01NS090581; U01NS090581; U01NS090581; R56AI180052; R01CA298815; R01EB012569; U01CA198880; U01CA198880; U01CA198880; U01CA198880; R01CA247685; R01CA247685; U01CA198880; R01CA247685; R01CA247685; R01EB012569; R01CA247685; R01EB012569; R01EB012569; R01EB012569; R01EB012569; R01EB012569; R01EB012569; R33EB002127; U19CA113298; U19CA113298; U19CA113298; R44CA257683; R33CA196445; R21NS072084; R33CA196445; R21NS072084; R33CA196445; R33CA099136; R33CA099136; R33CA099136; R33CA160132; R01CA115483; R01CA115483,
Eva Ge,1,University of North Carolina at Charlotte,50,25932405,0,0,DP2OD001210; R44CA203090; R44CA144817; R44CA144817; R44CA144817; R44CA203090; R44CA298498; R01DK116963; R01MH077770; R01MH077770; R01MH077770; U01DK108323; R01DK116963; R01DK116963; R01MH077770; R15GM160944; U01DK108323; U01DK127382; R44CA144817; R01MH077770; R41NS124450; U01DK108323; U01DK108323; U01DK108323; U01DK108323; U01DK108323; U01DK108323; U01DK108323; R01DK132709; U01DK108323; R43HL137545; R01DK132709; R01DK132709; U44NS130589; U44NS130589; U44NS130589; R41CA213544; R41CA203090; U01DK108323; U01DK127382; U01DK127382; U01DK127382; U01DK127382; U01DK127382; U01DK108323; N01HV062905; R41HD089823; C; U01DK108323; R43CA144817,
Sam Pleasure,1,University of California San Francisco,50,23822733,0,0,RM1NS138808; R01MH122471; R01MH122471; R01MH122471; R01MH122471; R01MH122471; R01NS125693; R01NS125693; R01NS125693; T32NS115706; T32NS115706; T32NS115706; T32NS115706; R01MH077694; T32NS115706; T32NS115706; R01NS125693; R01MH119435; R01MH119435; R01MH119435; R01MH119435; R56MH119435; R01MH077694; R01MH077694; R01MH077694; R01MH077694; R01MH105360; R01MH105360; R01MH077694; R01MH077694; R01NS118995; R01NS118995; R01NS118995; R01NS118995; R01MH077694; R01NS118995; R01NS075188; R01MH077694; R01MH077694; R01MH077694; R01MH077694; R01MH077694; R01DA017627; R01DA017627; R01DA017627; R01NS118995; R01MH066084; R01MH066084; R01MH066084; R01DA017627,
Denise Montell,2,UCSB,50,23809307,0,0,DP1CA300850; DP1CA300850; DP1CA195760; DP1CA195760; DP1CA195760; DP1CA195760; DP1CA195760; R01GM046425; R01GM046425; R01GM046425; R01GM046425; R01GM046425; R01GM046425; R01GM046425; R01GM046425; R01GM046425; R01GM046425; R01GM046425; R01GM046425; R01GM046425; R01GM046425; R01GM046425; R01GM046425; R01GM046425; R01GM046425; R01GM046425; R01GM046425; R01GM073164; R01GM073164; R01GM073164; R01GM073164; R01GM073164; R01GM073164; R01GM073164; R01GM073164; R01GM073164; R01GM073164; R01GM073164; R01GM073164; R01GM073164; R01AG063907; R01GM046425; R01GM046425; R01GM046425; R01GM046425; R01GM073164; R01AG063907; R01AG063907; R01AG063907; R01AG063907,
Bo Liu,37,"Department of Plant Biology, UC Davis",50,20563383,3,2425765,KL2TR002374; KL2TR002374; KL2TR002374; KL2TR002374; R01HL088447; R01HL158073; R01HL149404; R01HL088447; R01HL149404; R01HL158073; R01HL088447; R01HL149404; R01HL149404; R01HL158073; R01HL158073; R01HL088447; R01HL088447; R01HL122562; R01HL088447; R01HL088447; R01CA266269; R01HL088447; R01CA266269; R01HL122562; R01CA266269; R01HL141181; R01HL122562; R01HL122562; R01CA266269; R01CA201011; R01CA201011; R01CA201011; R01CA201011; R01CA201011; R01CA081357; R01HL081424; R01CA081357; R01CA081357; R01CA113831; R01CA081357; R01CA113831; R01CA113831; R01CA113831; R01CA113831; R21HL121493; R01CA081357; R21HL121493; R01HL088447; R01HL081424; R03CA181918,2451516; 2416267; 2148207
Nipavan chiamvimonvat,1,"University of California, Davis, Division of Cardiology",50,22716909,0,0,R01HL170520; R01HL085727; R01HL085727; R01HL085727; R01HL085727; R01HL085844; R01HL085844; R01HL137228; R01HL085844; R01HL085844; R01HL170520; T32HL086350; R01HL137228; R01HL137228; R01HL137228; R01HL085844; R01HL085844; R01HL085844; R01HL085844; T32HL086350; T32HL086350; T32HL086350; T32HL086350; T32HL086350; T32HL086350; S10OD010389; T32HL086350; T32HL086350; R01HL085727; R01HL085844; T32HL086350; R01HL085727; R01HL085844; R01HL085844; R01HL085727; R01HL085844; R01HL085844; R01HL085727; R01HL085727; R01HL085727; R01HL085844; R01HL085727; R01HL085844; R01HL085844; R01HL075274; R01HL075274; R01HL085727; R01HL075274; R01HL075274; P42ES004699,
Mark Winey,2,UC Davis,50,21589525,0,0,P01GM105537; P01GM105537; P01GM105537; P01GM105537; P01GM105537; P01GM105537; S10OD011963; R01GM074746; R01GM074746; R01GM051312; R01GM051312; R01GM051312; R01GM051312; R01GM127571; R01GM051312; R01GM127571; R01GM051312; R01GM127571; R01GM051312; R01GM051312; R01GM051312; R01GM051312; R01GM051312; R01GM051312; R01GM127571; R01GM127571; R01GM127571; R01GM127571; R01GM051312; R01GM074746; P01GM105537; R01GM051312; P01GM105537; P01GM105537; R01GM074746; R01GM074746; R01GM074746; R01GM051312; R01GM051312; R01GM074746; R01GM074746; R01GM059992; R01GM059992; R01GM059992; R01GM059992; R01GM051312; P01GM105537; P01GM105537; R01GM051312; R01GM051312,
Janine LaSalle,4,UCDavis,50,21493543,0,0,R01HD112991; R01HD112991; R01HD112991; R01AA027075; R01AA027075; R01AA027075; R01AA027075; R01AA027075; R56NS076263; R01HD098038; R01HD098038; R01HD098038; R01ES029213; S10RR024747; R01HD098038; R01ES029213; R01HD098038; R01ES029213; R01ES029213; R01ES029213; R01ES015171; R01ES015171; R01ES015171; R01ES021707; R01ES015171; R01NS081913; R01ES021707; R01HD048799; R01HD048799; R01NS081913; R01NS081913; R01HD048799; R01ES021707; R01HD048799; R01HD048799; R01NS081913; R01NS081913; R01ES021707; R01ES021707; R01HD041462; R01NS076263; R01NS076263; R01NS076263; R01HD041462; R01NS076263; R01NS076263; R01HD041462; R01HD041462; R01HD041462; R01HD041462,
Andrew Dillin,1,"University of California, Berkeley",50,20955886,0,0,R01ES021667; RC2AG036634; T32GM007127; RC2AG036634; T32GM007127; RC1AG036024; RC1AG036024; R01AG027463; R01AG027463; R01AG027463; R01AG027463; R37AG024365; R37AG024365; R37AG024365; R37AG024365; R37AG024365; R37AG024365; R01AG027463; R01DK070696; R01AG059566; R01AG059566; R01AG059566; R01AG059566; R01AG059566; R01DK070696; R01AG082797; P01AG031097; R01AG082797; R37AG024365; R01AG082797; R01DK070696; R37AG024365; P01AG031097; R01DK070696; R01DK070696; R37AG024365; P01AG031097; P01AG031097; R37AG024365; R01ES021667; R01ES021667; R01ES021667; P01AG031097; R01ES021667; R01ES021667; R01ES021667; R01ES021667; R01ES021667; R01ES021667; R01AG024365,
