pi_name,submissions,institute,nih_grant_count,nih_total_funding,nsf_award_count,nsf_total_funding,nih_grant_numbers,nsf_award_ids
Yoshihiro Izumiya,7,University of California Davis,43,15439607,0,0,R01CA232845; R01CA232845; R01CA290700; R01CA232845; R01CA232845; R01CA232845; R01AI167663; R01AI167663; R01AI167663; R01AI167663; R01AI167663; R01DE035429; R01CA290700; R01DE025985; R01DE025985; R01DE025985; R01DE025985; R01DE025985; R01CA225266; R01CA225266; R01CA225266; R01CA225266; R01CA225266; U01EB021230; U01EB021230; U01EB021230; R01CA147791; R01CA147791; R01CA147791; R01CA147791; R01CA147791; R21AI147207; R21AI155515; R21CA299587; R21AI186385; R01CA232845; R21AI147207; R21AI155515; R21CA299587; P51RR000168; R21AI186385; R21AI186385; R13CA306450,
Yuanpei Li,1,UCDavis of biochemistry and molecular medicine,35,15409902,0,0,R01CA232845; R01CA294557; R01CA294557; R01CA232845; R01EB033677; R01EB033677; R01EB033677; R01EB033677; R01DE029237; R01DE029237; R01EB035416; R01DE029237; R01EB035416; R01DE029237; R01CA232845; R01CA232845; R01CA232845; R01DE029237; R01EB035416; R01CA199668; R01CA199668; R01CA199668; R01CA199668; R01CA199668; R01HD086195; R01HD086195; R01HD086195; R01HD086195; R01HD086195; R43HD084021; R01CA232845; U43CA184113; R01EB035416; R01EB035416; R01EB035416,
Peter Beal,1,"University of California, Davis",50,13742675,1,820000,R35GM141907; R35GM141907; R35GM141907; R35GM141907; R35GM141907; R01GM080784; R01GM061115; R01GM080784; R01GM080784; R01GM080784; R01GM080784; R01GM080784; R01GM061115; R01GM080784; R01GM061115; R01GM080784; R01GM061115; R01GM061115; R01GM061115; T32GM136597; R01GM061115; T32GM136597; R01GM061115; R01GM061115; R01GM057214; T32GM136597; T32GM136597; R01GM061115; R01GM080784; R01GM080784; R01GM080784; R01GM057214; R01GM057214; R01GM080784; T32GM136597; R01GM061115; R01GM061115; R01GM061115; R21AI049062; R01GM057214; R01GM061115; R01GM057214; R01GM057214; R01GM057214; T32GM113770; T32GM113770; T32GM113770; R01GM061115; R01GM061115; R01GM061115,2315296
Jeroen Saeij,2,UC Davis,44,14456932,0,0,R01AI173803; R01AI173803; R01AI173803; T32OD011147; T32OD011147; R01AI166715; R01AI166715; U54AI057159; R01AI166715; R01AI166715; R01AI080621; R01AI080621; R01AI080621; R01AI080621; T32OD011147; R01AI080621; R01AI080621; U54AI057159; R01AI080621; R01AI080621; T32OD011147; R01AI080621; R21AI114930; R21EY031799; R21AI149071; R21AI151084; R21AI151081; R21AI139387; R21AI150326; R21EY024593; R21AI170420; R21AI170976; R21AI151081; R21AI151084; R21AI139387; R21AI150326; R21AI149071; R21EY024593; R21AI114930; R21EY031799; R21AI170420; R21AI170976; R01AI080621; R21EY024593,
Kiran Bhaskar,1,University of New Mexico (Molecular Genetics Microbiology),20,13363055,0,0,RF1NS083704; RF1AG072703; U01AG088557; U01AG088557; R01AG072703; P30AG086404; P30AG086404; P20AG068077; R01NS083704; R01NS083704; R01NS083704; R01NS083704; P20AG068077; P20AG068077; R21NS093442; R21NS077089; R21NS093442; R21NS077089; R01NS083704; R21NS077089,
Maria Marco,1,"University of California, Davis",29,12984423,0,0,R01DA058405; R01DA058405; R01DA058405; R01DA059344; R33DA059924; R01DA059344; R61DA059924; R61DA059924; R01DA036164; R01DA036164; R01DA036164; R01DA036164; R01DA036164; R01DA047822; R01DA047822; R01DA047822; R01DA047822; R01DA047822; R21AG054240; R21DA029491; R21AG054240; R21DA029491; R03DA027936; R03DA027936; R13AT012427; R01DA036164; R01DA047822; R01DA036164; R21AG054240,
William Ridgway,2,"Chief, Division of Rheumatology, Allergy, and Clinical Immunology",37,12878822,0,0,R01DK136815; R01DK136815; R01DK136815; R01DK107541; R01DK107541; R01DK107541; R01DK107541; R01DK107541; R01DK090019; R01DK107541; R01DK090019; R01DK090019; R01DK090019; R01DK090019; R01DK107541; R01DK107541; R01DK107541; R01DK107541; R01DK090019; R01DK090019; R01DK090019; R01DK060714; R21AI120084; R01DK060714; R01DK060714; R01DK060714; R21AI120084; I01BX003821; I01BX003821; I01BX003821; I01BX000827; I01BX003821; I01BX003821; I01BX000827; I01BX003821; I01BX000827; I01BX000827,
Aijun Wang,13,UC Davis Department of Surgery,32,12133835,0,0,R01NS144390; R01EB033389; R01EB033389; R01EB033389; R01EB034279; R01EB034279; R01EB034279; R01EB034279; R01EB033389; R01NS115860; R01NS115860; R01NS115860; R01NS115860; R01NS115860; R01NS131538; R01NS131538; R21NS133881; R01NS100761; R01NS100761; R01NS100761; R01NS100761; R01NS100761; R21HD107324; R21HD097467; R21HD107324; R21HD097467; R01EB034279; R01EB033389; R03HD091601; R03HD091601; R01EB034279; R01EB034279,
Elena Goncharova,4,University of California Davis,27,12092322,0,0,R01HL172488; R01HL150638; R01HL172488; R01HL150638; R01HL150638; R01HL150638; R01HL172488; T32HL007013; R01HL130261; R01HL130261; R01HL130261; R01HL130261; R01HL113178; T32HL007013; R01HL113178; R01HL130261; R01HL113178; R01HL113178; R01HL130261; R01HL130261; R01HL130261; R01HL113178; R01HL113178; R01HL113178; R01HL113178; R01HL130261; R01HL113178,
elena goncharova,1,"University of California, Davis",27,12092322,0,0,R01HL172488; R01HL150638; R01HL172488; R01HL150638; R01HL150638; R01HL150638; R01HL172488; T32HL007013; R01HL130261; R01HL130261; R01HL130261; R01HL130261; R01HL113178; T32HL007013; R01HL113178; R01HL130261; R01HL113178; R01HL113178; R01HL130261; R01HL130261; R01HL130261; R01HL113178; R01HL113178; R01HL113178; R01HL113178; R01HL130261; R01HL113178,
Javid Moslehi,1,University of California San Francisco,20,11870489,0,0,R01HL155990; R01HL156021; R01HL156021; R01HL156021; R01HL156021; R01HL156021; R01HL141466; R01HL141466; R01HL141466; R01HL141466; R01HL141466; R01HL155990; R01HL155990; R01HL155990; R56HL141466; R01HL155990; K08HL097031; K08HL097031; K08HL097031; K08HL097031,
Shuta Ishibe,2,Yale University,44,11722388,0,0,R01DK093629; R01DK093629; R01DK093629; R01DK083294; R01DK093629; R01DK093629; R01DK093629; R01DK093629; R01DK093629; R01DK083294; R01DK083294; R01DK083294; R01DK083294; R01DK083294; R01DK083294; R01DK083294; R01DK083294; R01DK093629; R01DK093629; R01DK093629; R01DK083294; R01DK093629; R01DK083294; R01DK083294; R01DK083294; R01DK083294; R01DK083294; R21AI178705; R21AI178705; R25DK121566; R25DK121566; R25DK121566; R25DK121566; R25DK121566; R25DK101408; R25DK101408; R25DK101408; R25DK101408; R25DK101408; P30DK079310; P30DK079310; P30DK079310; P30DK079310; P30DK079310,
Andrew Yang,2,UCSF,16,11711577,0,0,RF1NS139975; R01NS128909; R01NS128909; R01NS128909; DP5OD033381; DP5OD033381; DP5OD033381; DP5OD033381; C; R03AG079029; R03AG079029; F30CA278316; F30CA278316; F30CA278316; R01NS128909; DP5OD033381,
Angie Gelli,3,UC Davis,27,10957544,0,0,RF1AG056710; R56AI180052; U54NS127758; U54NS127758; U54NS127758; R01AI078848; R01NS110800; R01AI078848; R01AI078848; R01NS110800; R01NS110800; R01NS110800; R01NS110800; R01NS110800; U54NS127758; R01AI054477; R01AI054477; R01AI054477; R21AI122329; R21NS081074; R21AI122329; R21NS081074; R01AI054477; RF1AG056710; R01NS110800; R01NS110800; R01NS110800,
Michelle O'Malley,4,"Department of Chemical Engineering, University of California, Santa Barbara",2,540672,2,9980000,R43MH119906; R43MH119906,2400327; 2128271
Randy Carney,5,"University of California, Davis",23,9546863,1,400236,R01CA273253; R01CA273253; R01EB033389; R01EB033389; R01CA273253; R01EB033389; R01EB034279; R01EB034279; R01EB034279; R01CA241666; R01EB034279; R01EB033389; R01CA241666; R01CA241666; R01CA241666; R01CA241666; R01EB034279; R01CA273253; R01CA273253; R01EB033389; R01CA273253; R01EB034279; R01EB034279,2238995
Guo Huang,1,University of California San Francisco,27,9476441,1,447276,R01HL138456; R01HL138456; R01HL138456; R01HL138456; R01HL160819; R01HL160819; R01HL160819; R01HL160819; R01HL160819; R01HL138456; R01HL138456; R01HL138456; R01HL138456; R01HL138456; R00HL114738; R00HL114738; R00HL114738; K22CA248849; K22CA248849; K22CA248849; K99HL114738; K99HL114738; R01HL160819; R01HL160819; R01HL138456; R01HL160819; R01HL138456,2410019
Scott Dixon,2,Stanford University,29,9870612,0,0,R01NS143119; R01NS121319; R01CA285740; R01CA285740; R01NS121319; R01NS121319; R01NS121319; R01NS121319; R01CA272485; R01CA272485; R01CA272485; R01GM122923; R01GM122923; R01GM122923; R01GM122923; R01GM122923; R01GM122923; R01GM122923; R01GM122923; R01GM122923; R00CA166517; R00CA166517; R00CA166517; R01GM122923; K99CA166517; K99CA166517; R01GM122923; R01GM122923; R01GM122923,
Carrie Partch,3,"University of California, Santa Cruz",36,9868434,0,0,R35GM141849; R35GM141849; R35GM141849; R35GM141849; R35GM141849; R01GM107069; R01GM107069; R01GM107069; R01GM121507; R01GM121507; R01GM121507; R01GM121507; R01GM107069; R01GM107069; R01GM107069; R01GM107069; R01GM107069; R01GM121507; R35GM141849; R35GM141849; R35GM141849; R35GM141849; R01GM107069; R01GM107069; R01GM107069; R01GM107069; R35GM141849; R35GM141849; F32CA130441; F32CA130441; F32CA130441; F31MH070151; F31MH070151; R13NS122452; R35GM141849; F31MH070151,
Aldrin Gomes,6,UC davis,26,9751252,0,0,T32GM135741; T32GM135741; T32GM135741; T34GM136469; T34GM136469; T34GM136469; T34GM136469; R25GM056765; T32GM135741; R25GM056765; R25GM056765; R01HL096819; R01HL096819; R01HL096819; R01HL096819; R01HL096819; T32GM135741; R13GM154471; T32GM135741; T34GM136469; T34GM083894; T34GM083894; T32GM135741; T34GM136469; T34GM083894; T32GM135741,
Aras Mattis,3,UCSF,16,9733767,0,0,RC2DK136052; RC2DK136052; RC2DK136052; R01DK132129; R01DK132129; R01DK132129; R01DK130391; R01DK130391; R01DK130391; R01DK130391; K08DK098270; K08DK098270; K08DK098270; K08DK098270; K08DK098270; K08DK098270,
Thomas Weimbs,2,UCSB,38,9566724,0,0,R01DK124895; R01DK124895; R01DK124895; R01DK124895; R01DK124895; R01DK109563; R01DK109563; R01DK109563; R01DK109563; R01DK062338; R01DK062338; R01DK062338; R01DK062338; R01DK062338; R01DK078043; R01GM066785; R01DK078043; R01DK078043; R01DK078043; R01GM066785; R01DK078043; R01GM066785; R01GM066785; R01DK062338; R01DK062338; R01DK062338; R21DK095248; R01DK062338; R21DK095248; R01GM066785; R21CA100078; R21CA100078; R01DK062338; R01GM066785; R01DK078043; R01DK062338; R21CA100078; R01DK078043,
Scott Dawson,1,UC Davis,24,8627191,1,516336,R01AI189927; R01AI189927; R01AI077571; R01AI077571; R01AI077571; R01AI077571; R01AI077571; R01AI077571; R01AI077571; R01AI077571; R01AI077571; R01AI077571; R01AI077571; R01AI077571; R01AI077571; R01AI077571; R21AI178544; R21AI138150; R21AI119791; R21AI119791; R21AI178544; R21AI138150; R01AI077571; R01AI077571,2238770
Fuzheng Guo,1,"Department of Neurology, UC Davis, School of Medicine",21,8569438,0,0,R01NS134887; R01NS134887; R01NS134887; R01NS123165; R01NS123165; R01NS123165; R01NS123165; R01NS123080; R01NS123080; R01NS123080; R01NS123080; R21NS125464; R01NS123080; R01NS094559; R01NS094559; R01NS094559; R01NS094559; R21NS109790; R21NS093559; R21NS109790; R01NS094559,
Dominic Raj,1,"The George Washington University- SMHS Washington, D.C.",26,8434404,0,0,R01DK125256; R01DK125256; R01DK073665; R01DK125256; R01DK073665; R01DK073665; R01DK073665; R01DK073665; U01DK099914; U01DK099914; R01DK125256; U01DK099914; U01DK099924; U01DK099914; U01DK099914; U01DK099924; U01DK099924; U01DK099924; U01DK099924; R21AG021560; R21AG021560; M01RR000997; M01RR000997; M01RR000997; M01RR000997; U01DK099924,
Alex Nord,2,UC Davis,27,8344055,0,0,R01MH120513; R01MH120513; R35GM119831; R01MH120513; R01MH120513; R35GM119831; R35GM119831; R35GM119831; R01MH120513; R35GM119831; R35GM119831; R35GM119831; R35GM119831; R35GM119831; R35GM119831; R21MH126400; R21MH116681; R21MH132834; R21MH126413; R21DA058887; R21MH132834; R21MH116681; R21MH126400; R21MH126413; R21DA058887; F32GM105202; F32GM105202,
Karen Zito,1,UC Davis Center for Neuroscience,23,8017204,0,0,R01NS137635; R01NS137635; U01NS103571; U01NS103571; U01NS103571; R56MH139176; R01NS062736; R01NS062736; R01NS062736; R01NS062736; R01NS062736; R01NS062736; R01NS062736; R01NS062736; R01NS062736; R01NS062736; T32MH112507; T32MH112507; U01NS103571; R01NS062736; R01NS062736; R01NS062736; R13NS110205,
Yoshikazu Takada,1,UC Davis sch of medicine,36,7607781,0,0,R01CA131015; R01CA131015; R01CA131015; R01CA131015; R01GM049899; R01GM047157; R01GM047157; R01GM049899; R01GM049899; R01GM049899; R01GM047157; R01GM047157; R01GM047157; R01GM047157; R01GM049899; R01GM047157; R01GM047157; R01GM049899; R01GM049899; R01GM047157; R01GM047157; R21AG027350; R01GM049899; R01GM047157; R01GM047157; R01GM047157; U19CA113298; U19CA113298; U19CA113298; R21AG027350; U19CA113298; U19CA113298; P51RR000169; P51RR000169; P51RR000169; P51RR000169,
yoshikazu takada,1,UC Davis,36,7607781,0,0,R01CA131015; R01CA131015; R01CA131015; R01CA131015; R01GM049899; R01GM047157; R01GM047157; R01GM049899; R01GM049899; R01GM049899; R01GM047157; R01GM047157; R01GM047157; R01GM047157; R01GM049899; R01GM047157; R01GM047157; R01GM049899; R01GM049899; R01GM047157; R01GM047157; R21AG027350; R01GM049899; R01GM047157; R01GM047157; R01GM047157; U19CA113298; U19CA113298; U19CA113298; R21AG027350; U19CA113298; U19CA113298; P51RR000169; P51RR000169; P51RR000169; P51RR000169,
Connie Tam,1,Cleveland Clinic,18,7512870,0,0,R01EY031463; R01EY031463; R01EY031463; R01EY031463; R01EY030577; R01EY030577; R01EY030577; R01EY030577; R01EY030111; R01EY030111; R01EY023000; R01EY030111; R01EY030111; R01EY023000; R01EY023000; R01EY023000; R01EY023000; R01EY023000,
Eamonn Dickson,6,"UC Davis, School of Medicine, Department of Physiology and Membrane Biology",15,6926453,0,0,RF1NS131379; R01NS131379; R01NS114210; R01NS131375; R01NS131375; R01NS131375; R35GM149211; R35GM149211; R01NS131375; R01GM127513; R01GM127513; R01GM127513; R01GM127513; R01GM127513; R35GM149211,
Sean Burgess,1,"University of California, Davis",21,6903994,0,0,R01GM075119; R01GM075119; R01GM075119; R35GM145244; R35GM145244; R35GM145244; R35GM145244; R01GM075119; R01GM075119; R01GM075119; R01GM075119; R01GM075119; R01GM075119; R01GM075119; R01GM075119; R01GM075119; R01GM075119; R35GM145244; R01GM075119; R01GM075119; R35GM145244,
Vasanthy Narayanaswami,8,"California State University, Long Beach",31,6877868,0,0,T34GM149378; T34GM149378; T34GM149378; T34GM008074; T34GM008074; T34GM008074; T34GM008074; T34GM008074; T34GM008074; T34GM008074; T34GM008074; T34GM008074; T34GM008074; R25HL096365; R25HL096365; R25HL096365; R25HL096365; R25HL096365; R16NS140312; R16NS140312; R25HL125451; R25HL125451; SC3GM105561; SC3GM105561; SC3GM105561; SC3GM105561; SC3GM105561; SC3GM105561; SC3GM105561; SC3GM105561; T34GM008074,
Jian Jian Li,2,"UCDavis Medical center, Radiation Oncology  research Lab.",21,6553158,0,0,R01CA152313; R41CA272043; R01CA152313; R01CA152313; R01CA152313; R01CA213830; R01CA213830; R01CA213830; R01CA213830; R01CA152313; R01CA213830; R01CA133402; R01CA133402; R01CA133402; R01CA133402; R01CA133402; R01CA101990; R01CA101990; R01CA101990; R01CA101990; R01CA101990,
Jen-Chywan Wang,1,UC Berkeley,19,6529962,0,0,R01DK124866; R01DK124866; R01DK131194; R01DK131194; R01DK124866; R01DK131194; R01DK131194; R01DK124866; R01DK131194; R01DK083591; R01DK083591; R01DK113019; R01DK113019; R01DK113019; R01DK113019; R01DK083591; R01DK083591; R01DK083591; R01DK083591,
Amantha Thathiah,1,University of Pittsburgh,12,6506914,0,0,R01AG058851; R01AG058851; R01AG083877; R01AG083877; R01AG083877; R01AG058851; U19AG074866; R01AG058851; R01AG058851; R01AG058851; R01AG058851; R01AG058851,
Chengfei Liu,5,UC Davis,16,6312518,0,0,R44CA206668; R44CA206668; R01CA308808; R01CA251253; R01CA251253; R37CA249108; R37CA249108; R37CA249108; R01CA251253; R01CA251253; R37CA249108; R01CA251253; R37CA249108; R43CA206668; R21CA277171; R21CA277171,
Nicholas Mancuso,1,University of Southern California,10,6036379,0,0,R01HG012133; R01HG012133; R01HG012133; R01HG012133; R01HG012133; R01CA258808; R01CA258808; R01CA258808; R01CA258808; R01CA258808,
Cheemeng Tan,1,"Department of Biomedical Engineering, UC, Davis.",21,5768933,0,0,R01EB034279; R01EB034279; R01EB034279; R01EB034279; R35GM142788; R35GM142788; R35GM142788; R35GM142788; R35GM142788; R35GM142788; R21EB025938; R21CA267427; R21EB025938; R21EB025938; R21CA267427; R01EB034279; R35GM142788; R35GM142788; R01EB034279; R01EB034279; R35GM142788,
Gitta Coaker,6,UC Davis,18,5754725,0,0,R35GM136402; R35GM136402; R35GM136402; R35GM136402; R35GM136402; R35GM136402; R35GM136402; R01GM092772; R01GM092772; R01GM092772; R01GM092772; R01GM092772; R01GM092772; R01GM092772; R01GM092772; R01GM092772; R35GM136402; R35GM136402,
Isha Jain,15,Gladstone Institutes / UCSF,9,5252807,0,0,R01AT013724; R01HL179702; R01NS142087; R56AG088161; DP5OD026398; DP5OD026398; DP5OD026398; DP5OD026398; DP5OD026398,
Ben Montpetit,9,"University of California, Davis",9,3754681,1,1182158,R35GM145328; R35GM145328; R35GM145328; R35GM145328; R01GM124120; R01GM124120; R01GM124120; R01GM124120; R01GM124120,2140761
Michael Mandell,1,University of New Mexico,22,4595614,1,156849,R01AI155746; R01AI155746; R01AI155746; R01AI155746; R01AI155746; P20GM121176; P20GM121176; P20GM121176; P20GM121176; P20GM121176; R43GM064028; R21AI131964; R21AI131964; R43HL068332; R43CA079322; R43RR013527; R43RR016130; U54CA136465; U54CA136465; U54CA136465; U54CA136465; U54CA136465,2405030
Fawaz Haj,1,UC Davis,16,4648327,0,0,P42ES004699; R01DK095359; R01DK095359; R01DK095359; R01DK090492; R01DK090492; R01DK090492; R01DK090492; R01DK095359; R01DK090492; P42ES004699; P42ES004699; P42ES004699; P42ES004699; R56DK084317; P42ES004699,
Randy Schekman,2,"Li Ka Shing Center, University of California at Berkeley",26,4558230,0,0,R01GM026755; R01GM026755; R01GM026755; R01GM026755; R01GM026755; R01GM026755; R01GM026755; R01GM026755; R01GM026755; R01GM036881; R01GM026755; R01GM026755; R01GM026755; R01GM036881; R01GM026755; R01GM026755; R01GM026755; R01GM036881; R01GM026755; R01GM036881; R01GM026755; R01GM026755; R01GM036881; R01GM026755; R01GM026755; R01GM026755,
Siva Kolluri,1,Oregon State University,13,4465706,0,0,T32ES007060; T32ES007060; T32ES007060; T32ES007060; T32ES007060; T32ES007060; T32ES007060; T32ES007060; R21ES019000; R21CA249627; R21ES019000; R21CA249627; T32ES007060,
Clare Yellowley,2,"UC Davis, VM:APC",22,4405545,0,0,R01AR073772; R01AR073772; R01AR073772; R01AR073772; R01AR073772; R01AG022305; R01AG022305; R01AG022305; R01AG022305; R01AG022305; R21AR061604; R21AR061604; R03AR047154; R03AR047154; R03AR047154; R01AR073772; R01AR073772; R01AG022305; R01AG022305; F32AR008514; F32AR008514; F32AR008514,
Clare Yellowley-Genetos,1,VM:APC,22,4405545,0,0,R01AR073772; R01AR073772; R01AR073772; R01AR073772; R01AR073772; R01AG022305; R01AG022305; R01AG022305; R01AG022305; R01AG022305; R21AR061604; R21AR061604; R03AR047154; R03AR047154; R03AR047154; R01AR073772; R01AR073772; R01AG022305; R01AG022305; F32AR008514; F32AR008514; F32AR008514,
Chris Baek,1,"Yubeck, Inc.",13,4392017,0,0,R01DK060673; R01DK060673; R01DK094040; R01DK060673; R01DK094040; R01DK060673; R01DK060673; R01DK060673; R01DK060673; R01DK065743; R01DK065743; R01DK065743; R01DK065743,
Onn Brandman,2,Stanford University,14,4377549,0,0,R35GM153301; R01GM115968; R01GM115968; R01GM115968; R01GM115968; R01GM148526; R01GM148526; R01GM115968; R01GM115968; R01GM115968; R01GM115968; R01GM115968; R35GM153301; R01GM115968,
Konstantinos Zarbalis,1,Department of Pathology and Laboratory Medicine,12,4297052,0,0,R01HD107489; R01HD107489; R01HD107489; R01HD107489; R01DE022830; R01DE022830; R01DE022830; R01DE022830; R21MH115347; R21HD067855; R21MH115347; R21HD067855,
Christina Kim,8,UC Davis,7,4252194,0,0,UM1MH138543; DP2MH136588; DP2MH136588; R21DA059842; R21DA059842; F31DA041795; F31DA041795,
Priya Shah,7,"University of California, Davis",12,4206733,0,0,R01AI170857; R01AI170857; R01AI170857; R56AI170857; R21DC022716; R21DC022376; R01AI170857; R21AI168716; R21AI168716; R03NS130489; F32AI112262; F32AI112262,
Sona Kang,1,UC Berkeley,9,4047355,0,0,R01DK116008; R01DK116008; R01DK116008; R56NS128721; R01DK116008; R01DK116008; R01DK116008; R01DK116008; R01DK116008,
SONA KANG,1,UC Berkeley,9,4047355,0,0,R01DK116008; R01DK116008; R01DK116008; R56NS128721; R01DK116008; R01DK116008; R01DK116008; R01DK116008; R01DK116008,
Andreas Martin,1,UC Berkeley,15,4041813,0,0,R01GM094497; R01GM094497; R01GM094497; R01GM094497; R01GM094497; R01GM094497; R01GM094497; R01GM094497; R01GM094497; R01GM094497; R01GM094497; R01GM094497; R01GM094497; R21DK055277; R21DK055277,
Blake Meyers,4,UCD,5,1962703,3,2070899,R01GM151302; R01GM151302; R01GM151302; P20RR015588; R01GM151302,2450802; 2514354; 2445607
Michael Polymenis,2,Texas A&M University,15,4032174,0,0,R01GM123139; R01GM123139; R01GM123139; R01GM123139; R01GM123139; R01GM123139; R01GM123139; R01GM123139; R01GM062377; R01GM062377; R01GM062377; R01GM062377; R01GM062377; R01GM123139; R01GM123139,
Sanjeevi Sivasankar,8,UC Davis,13,4032065,0,0,R01GM133880; R01GM133880; R01GM133880; R01GM133880; R01GM121885; R01GM121885; R01GM121885; R01GM121885; R01GM121885; R01GM121885; R01GM121885; R01GM121885; R01GM121885,
Denis Titov,1,UC Berkeley,4,3739125,0,0,DP2GM132933; R35GM152114; R35GM152114; R35GM152114,
Katherine Borkovich,1,University of California Riverside,23,3540538,0,0,R01GM086565; R01GM086565; R01GM086565; R01GM086565; R01GM048626; R01GM048626; R01GM048626; R01GM048626; R01GM048626; R01GM048626; R01GM048626; R01GM048626; R29GM048626; R29GM048626; R29GM048626; R29GM048626; R29GM048626; R01GM048626; F32GM011223; R01GM048626; F32GM011223; F32GM011223; R01GM048626,
Colleen Sweeney,1,"Department of Biochemistry and Molecular Medicine, UC Davis",18,3492169,0,0,R01ES036338; R01ES036338; R01CA118384; R01CA118384; R01CA118384; R01CA118384; R01CA118384; R01CA118384; R01CA118384; R01CA118384; R01CA118384; R01CA118384; R01CA118384; R01CA118384; R01CA118384; F32GM018460; F32GM018460; F32GM018460,
Cecilia Giulivi,2,UC Davis-School of Vet Med- Dept Molecular Biosciences,12,3480264,0,0,R56AI118926; RC1DK087307; RC1DK087307; S10RR023586; R21NS128751; R21HD086769; R21HD086769; R56AI118926; R15GM066768; R01ES012691; R03ES011407; R03ES011407,
Steven Bradfute,1,The University of New Mexico,2,3407726,0,0,U19AI181977; U19AI181977,
Scott Cameron,2,center for neuroscience,10,3274603,0,0,R01HL158801; R01HL158801; R01HL158801; R01HL158801; R01HL158801; K08HL128856; K08HL128856; K08HL128856; K08HL128856; K08HL128856,
Dean Scholl,2,Pylum Biosciences,10,3224757,0,0,R33AI121692; R33AI121692; R33AI121692; R21AI121692; R43AI084295; R43AI084295; R43AI084295; R21AI085318; R21AI085318; R21AI121692,
Soichiro Yamada,7,UC Davis,11,2991002,0,0,R01GM148706; R01GM148706; R01GM148706; R01GM148706; R01GM094798; R01GM094798; R01GM094798; R01GM094798; R01GM148706; R03EB021636; R03EB021636,
Gabriela Loots,2,"Department of Orthopaedic Surgery, UC Davis Health",10,2970637,0,0,R01DK075730; R01DK075730; R01DK075730; R01DK075730; R01DK075730; R01HG003963; R01HG003963; R01HG003963; R01HG003963; R56DK110145,
Michele La Merrill,1,UC Davis,10,2807938,0,0,R01ES024946; R01ES024946; R01ES024946; R01ES024946; R01ES024946; R00ES019919; R00ES019919; R00ES019919; K99ES019919; K99ES019919,
Chang-il Hwang,2,UC Davis,12,2764208,0,0,R37CA249007; R37CA249007; R37CA249007; R37CA249007; R37CA249007; R37CA249007; K22CA226037; K22CA226037; K22CA226037; F32CA180717; F32CA180717; F32CA180717,
Dan Kliebenstein,1,UC Davis Plant Sciences,0,0,2,2740716,,2434545; 2020754
Yukiko Nakano,2,UCSF,6,2738849,0,0,T32DE007306; R01DE027366; R01DE027366; R01DE027366; R01DE027366; R01DE027366,
Brian Staskawicz,1,UC Berkeley,10,2736523,0,0,R01GM069680; R01GM069680; R01GM069680; R01GM069680; R01GM069680; R01GM069680; R01GM069680; R01GM069680; R01GM069680; R01GM069680,
Judd Rice,1,USC,12,2503723,0,0,R01GM075094; R01GM075094; R01GM075094; R01GM075094; R01GM075094; R21HG012833; R21AR074649; R21HG012833; R21AR074649; F32GM064279; F32GM064279; F32GM064279,
Laura Dassama,2,Stanford University,11,2483883,0,0,R01HL173127; R01HL173127; R35GM150910; R35GM150910; R35GM150910; R35GM150910; R35GM150910; R35GM150910; F32GM110934; F32GM110934; F32GM110934,
Andrew Fisher,1,UCD,27,2364276,0,0,R01GM149799; R01GM149799; R01GM149799; R01GM149799; R01GM056774; R01GM056774; R01GM056774; R01GM056774; R01GM149799; R01GM149799; R03TW001219; R03TW001219; R03TW001219; F32AR008304; F32AR008304; R01GM056774; R01GM149799; P41RR001209; P41RR001209; P41RR001209; P41RR001209; P41RR001209; P41RR001209; P41RR001209; P41RR001209; P41RR001209; P41RR001209,
Taiyi Kuo,1,UC Davis,10,2241955,0,0,R01DK132227; R01DK132227; R01DK132227; R01DK132227; K01DK114372; K01DK114372; K01DK114372; K01DK114372; K01DK114372; K01DK114372,
Holly Moeller,1,UC Santa Barbara,0,0,3,2229573,,2344641; 2316522; 2237017
Adam Steinbrenner,2,University of Washington,3,1137106,1,702041,R35GM151272; R35GM151272; R35GM151272,2139986
Shaun McKinnie,1,"University of California, Santa Cruz",4,1491048,1,324771,R35GM147235; R35GM147235; R35GM147235; R35GM147235,2300891
Kristin Grimsrud,2,"University of California, Davis",11,1800920,0,0,U42OD012210; U2CDK135074; U2CDK092993; K01OD026608; K01OD026608; K01OD026608; K01OD026608; K01OD026608; U2CDK135074; U2CDK135074; U2CDK135074,
brett phinney,1,UCD,3,1691160,0,0,S10OD026918; S10OD021801; S10RR023642,
Vimal Selvaraj,5,Cornell University,5,1648316,0,0,R01DK110059; R01DK110059; R01DK110059; R01DK110059; R01DK110059,
Michael Alexanian,6,Gladstone Institutes,2,1615653,0,0,R01HL175312; R01HL181372,
Jennifer Cash,2,"University of California, Davis",5,1577420,0,0,R35GM146664; R35GM146664; R35GM146664; R35GM146664; R35GM146664,
Daniel Becker,6,University of Oklahoma,14,927559,1,611022,R15AI085559; R21AI190246; R03AI188200; D28PE013197; D28PE013197; D28PE013197; D28PE013197; D28PE013197; D28PE013197; D28PE013197; I01HX003729; I01HX003729; D28PE013197; D28PE013197,2508537
Shelbi Russell,1,University of California Santa Cruz,7,1503722,0,0,R35GM157189; R00GM135583; R00GM135583; R00GM135583; R35GM157189; K99GM135583; K99GM135583,
Nicholas Hawco,10,University of Hawaii,0,0,5,1432500,,2446524; 2421792; 2149070; 2049151; 2022969
