pmid,title,year,journal,authors,grants
24844799,Review article: Herbal hepatotoxicity--an update on traditional Chinese medicine preparations.,2014,Alimentary pharmacology & therapeutics,Teschke R; Wolff A; Frenzel C; Schulze J,
24555639,"Shotgun proteomic analysis unveils survival and detoxification strategies by Caulobacter crescentus during exposure to uranium, chromium, and cadmium.",2014,Journal of proteome research,Yung MC; Ma J; Salemi MR; Phinney BS; Bowman GR,
24548633,Mitochondrial proteome remodeling in ischemic heart failure.,2014,Life sciences,Liu T; Chen L; Kim E; Tran D; Phinney BS,HL079071; R01 HL077281; S10 OD010389; R01 HL079071; HL077281
24130705,Distinguishing ichthyoses by protein profiling.,2013,PloS one,Rice RH; Bradshaw KM; Durbin-Johnson BP; Rocke DM; Eigenheer RA,P42 ES004699; UL1 TR000002; 2P42 ES04699; UL1TR0000002
23991859,"Proteomic analysis of human keratinocyte response to 2,3,7,8-tetrachlorodibenzo-p-dioxin (TCDD) exposure.",2013,Journal of proteome research,Hu Q; Rice RH; Qin Q; Phinney BS; Eigenheer RA,P42 ES004699; 2P42 ES04699
23802608,Neuropeptidergic input pathways to the circadian pacemaker center of the Madeira cockroach analysed with an improved injection technique.,2013,The European journal of neuroscience,Schulze J; Schendzielorz T; Neupert S; Predel R; Stengl M,
23774597,Cryptococcus neoformans promotes its transmigration into the central nervous system by inducing molecular and cellular changes in brain endothelial cells.,2013,Infection and immunity,Vu K; Eigenheer RA; Phinney BS; Gelli A,
23319436,Interlaboratory studies and initiatives developing standards for proteomics.,2013,Proteomics,Ivanov AR; Colangelo CM; Dufresne CP; Friedman DB; Lilley KS,P30 DA018343; S10 RR026707
26635994,"Fatty acid, amino acid, mineral and antioxidant contents of acha (Digitaria exilis) grown on the Jos Plateau, Nigeria.",2013,International journal of nutrition and metabolism,Glew RH; Laabes EP; Presley JM; Schulze J; Andrews R,CC999999
23251662,Differentiating inbred mouse strains from each other and those with single gene mutations using hair proteomics.,2012,PloS one,Rice RH; Bradshaw KM; Durbin-Johnson BP; Rocke DM; Eigenheer RA,R01 AR056635; P42 ES004699; 2 P42 ES04699; AR056635; R01 AR047204; AR047204
22216214,Phosphorylation and activation of the plasma membrane Na+/H+ exchanger (NHE1) during osmotic cell shrinkage.,2011,PloS one,Rigor RR; Damoc C; Phinney BS; Cala PM,R37 HL021179; R01 HL 21179
22095637,Myoinhibitory peptides in the brain of the cockroach Leucophaea maderae and colocalization with pigment-dispersing factor in circadian pacemaker cells.,2012,The Journal of comparative neurology,Schulze J; Neupert S; Schmidt L; Predel R; Lamkemeyer T,
21952776,Electron induced dissociation of singly deprotonated peptides.,2011,Journal of the American Society for Mass Spectrometry,Kalli A; Grigorean G; Håkansson K,
21841177,Label-free shotgun proteomics and metabolite analysis reveal a significant metabolic shift during citrus fruit development.,2011,Journal of experimental botany,Katz E; Boo KH; Kim HY; Eigenheer RA; Phinney BS,
21483796,REVEILLE8 and PSEUDO-REPONSE REGULATOR5 form a negative feedback loop within the Arabidopsis circadian clock.,2011,PLoS genetics,Rawat R; Takahashi N; Hsu PY; Jones MA; Schwartz J,R01 GM069418; GM069418
21455478,ABRF-PRG07: advanced quantitative proteomics study.,2011,Journal of biomolecular techniques : JBT,Falick AM; Lane WS; Lilley KS; MacCoss MJ; Phinney BS,
21246723,The use of GC×GC/TOF MS with multivariate analysis for the characterization of foodborne pathogen bacteria profiles.,2011,Journal of separation science,Gardner JY; Brillhart DE; Benjamin MM; Dixon LG; Mitchell LM,
21162737,A label-free differential quantitative mass spectrometry method for the characterization and identification of protein changes during citrus fruit development.,2010,Proteome science,Katz E; Fon M; Eigenheer RA; Phinney BS; Fass JN,
20939611,Proteomic analysis of human nail plate.,2010,Journal of proteome research,Rice RH; Xia Y; Alvarado RJ; Phinney BS,P42 ES004699; P42 ES04699
20808644,A comparative study of in-gel digestions using microwave and pressure-accelerated technologies.,2010,Journal of biomolecular techniques : JBT,Alvarado R; Tran D; Ching B; Phinney BS,
20097790,The significance of protein maturation by plastidic type I signal peptidase 1 for thylakoid development in Arabidopsis chloroplasts.,2010,Plant physiology,Shipman-Roston RL; Ruppel NJ; Damoc C; Phinney BS; Inoue K,
19603827,Reanalysis of Tyrannosaurus rex Mass Spectra.,2009,Journal of proteome research,Bern M; Phinney BS; Goldberg D,R21 GM085718; GM085718
19490636,In vivo multiplex quantitative analysis of 3 forms of alpha melanocyte stimulating hormone in pituitary of prolyl endopeptidase deficient mice.,2009,Molecular brain,Perroud B; Alvarado RJ; Espinal GM; Morado AR; Phinney BS,R01 DK069978; R01-DK69978
19137115,ABRF-PRG05: de novo peptide sequence determination.,2008,Journal of biomolecular techniques : JBT,Falick AM; Kowalak JA; Lane WS; Phinney BS; Turck CW,
18936055,Analysis of the pumpkin phloem proteome provides insights into angiosperm sieve tube function.,2009,Molecular & cellular proteomics : MCP,Lin MK; Lee YJ; Lough TJ; Phinney BS; Lucas WJ,
18496127,Genetic aspects of epitestosterone formation and androgen disposition: influence of polymorphisms in CYP17 and UGT2B enzymes.,2008,Pharmacogenetics and genomics,Schulze JJ; Lorentzon M; Ohlsson C; Lundmark J; Roh HK,
18446753,Large old trees influence patterns of delta13C and delta15N in forests.,2008,Rapid communications in mass spectrometry : RCM,Weber P; Bol R; Dixon L; Bardgett RD,BBS/E/G/00003015
18438765,Use of carbon isotope analysis to understand semi-arid erosion dynamics and long-term semi-arid land degradation.,2008,Rapid communications in mass spectrometry : RCM,Turnbull L; Brazier RE; Wainwright J; Dixon L; Bol R,BBS/E/G/00003015
18438763,Long-term influence of manure and mineral nitrogen applications on plant and soil 15N and 13C values from the Broadbalk Wheat Experiment.,2008,Rapid communications in mass spectrometry : RCM,Senbayram M; Dixon L; Goulding KW; Bol R,BBS/E/C/00004962; BBS/E/C/00004980; BBS/E/C/00006004; BBS/E/G/00003015
18334593,"Doping test results dependent on genotype of uridine diphospho-glucuronosyl transferase 2B17, the major enzyme for testosterone glucuronidation.",2008,The Journal of clinical endocrinology and metabolism,Schulze JJ; Lundmark J; Garle M; Skilving I; Ekström L,
17910511,Protein changes in the albedo of citrus fruits on postharvesting storage.,2007,Journal of agricultural and food chemistry,Lliso I; Tadeo FR; Phinney BS; Wilkerson CG; Talón M,
17854217,Shotgun cross-linking analysis for studying quaternary and tertiary protein structures.,2007,Journal of proteome research,Lee YJ; Lackner LL; Nunnari JM; Phinney BS,1F32GM078749-01; 1R01EY015924
17541628,The citrus fruit proteome: insights into citrus fruit metabolism.,2007,Planta,Katz E; Fon M; Lee YJ; Phinney BS; Sadka A,
17513294,The Association of Biomolecular Resource Facilities Proteomics Research Group 2006 study: relative protein quantitation.,2007,Molecular & cellular proteomics : MCP,Turck CW; Falick AM; Kowalak JA; Lane WS; Lilley KS,
17397212,Determining the overall merit of protein identification data sets: rho-diagrams and rho-scores.,2007,Journal of proteome research,Fenyo D; Phinney BS; Beavis RC,1 U24 CA126477-01
17265861,"Protein variations in Listeria monocytogenes exposed to sodium lactate, sodium diacetate, and their combination.",2007,Journal of food protection,Mbandi E; Phinney BS; Whitten D; Shelef LA,R25 GM58905-02
17233760,Extracellular glycosylphosphatidylinositol-anchored mannoproteins and proteases of Cryptococcus neoformans.,2007,FEMS yeast research,Eigenheer RA; Jin Lee Y; Blumwald E; Phinney BS; Gelli A,
16751107,Global analysis of protein palmitoylation in yeast.,2006,Cell,Roth AF; Wan J; Bailey AO; Sun B; Kuchar JA,GM65525; P41 RR011823; R01 NS043782; R01 GM065525; RR11823
16453347,Identification of proteins adducted by reactive metabolites of naphthalene and 1-nitronaphthalene in dissected airways of rhesus macaques.,2006,Proteomics,Lin CY; Boland BC; Lee YJ; Salemi MR; Morin D,ES 00628; ES 04311; ES 04699
16357201,Jasmonate-inducible plant enzymes degrade essential amino acids in the herbivore midgut.,2005,Proceedings of the National Academy of Sciences of the United States of America,Chen H; Wilkerson CG; Kuchar JA; Phinney BS; Howe GA,
15894717,Identification and functional analysis of in vivo phosphorylation sites of the Arabidopsis BRASSINOSTEROID-INSENSITIVE1 receptor kinase.,2005,The Plant cell,Wang X; Goshe MB; Soderblom EJ; Phinney BS; Kuchar JA,
15892573,Characterization of a structurally intact in situ lung model and comparison of naphthalene protein adducts generated in this model vs lung microsomes.,2005,Chemical research in toxicology,Lin CY; Isbell MA; Morin D; Boland BC; Salemi MR,ES 00628; ES 04311; ES 04699; ES 05707
15822927,Proteomic characterization of a triton-insoluble fraction from chloroplasts defines a novel group of proteins associated with macromolecular structures.,2005,Journal of proteome research,Phinney BS; Thelen JJ,
15691838,Human Ran cysteine 112 oxidation by pervanadate regulates its binding to keratins.,2005,The Journal of biological chemistry,Tao GZ; Zhou Q; Strnad P; Salemi MR; Lee YM,DK52951; DK56339
15249184,Defective glycosylation of calsequestrin in heart failure.,2004,Cardiovascular research,Kiarash A; Kelly CE; Phinney BS; Valdivia HH; Abrams J,R01 HL062586; HL62586
15169875,Identification and verification of novel rodent postsynaptic density proteins.,2004,Molecular & cellular proteomics : MCP,Jordan BA; Fernholz BD; Boussac M; Xu C; Grigorean G,R01 AG13620; R21 NS44184-01; S10 RR017990-01; T32 NS 07457-04
12938931,Proteomic study of the Arabidopsis thaliana chloroplastic envelope membrane utilizing alternatives to traditional two-dimensional electrophoresis.,2003,Journal of proteome research,Froehlich JE; Wilkerson CG; Ray WK; McAndrew RS; Osteryoung KW,
12374825,A single nucleotide exchange in the wzy gene is responsible for the semirough O6 lipopolysaccharide phenotype and serum sensitivity of Escherichia coli strain Nissle 1917.,2002,Journal of bacteriology,Grozdanov L; Zähringer U; Blum-Oehler G; Brade L; Henne A,
11969422,Identification of in vivo phosphorylation sites of MLK3 by mass spectrometry and phosphopeptide mapping.,2002,Biochemistry,Vacratsis PO; Phinney BS; Gage DA; Gallo KA,CA76306
11338580,Enantiomeric analysis of pharmaceutical compounds by ion/molecule reactions.,2001,Analytical chemistry,Grigorean G; Lebrilla CB,
11281603,Chiral recognition in gas-phase cyclodextrin: amino acid complexes--is the three point interaction still valid in the gas phase?,2001,Journal of the American Society for Mass Spectrometry,Ahn S; Ramirez J; Grigorean G; Lebrilla CB,
11008760,"A mass spectrometry method for the determination of enantiomeric excess in mixtures of D,L-amino acids.",2000,Analytical chemistry,Grigorean G; Ramirez J; Ahn SH; Lebrilla CB,
10823875,"The surface conformation of Sindbis virus glycoproteins E1 and E2 at neutral and low pH, as determined by mass spectrometry-based mapping.",2000,Journal of virology,Phinney BS; Blackburn K; Brown DT,R01 AI042775; AI42775
1423863,Biliary excretion of 4-(methylnitrosamino)-1-(3-pyridyl)-1-butanone in the rat.,1992,Carcinogenesis,Schulze J; Richter E; Binder U; Zwickenpflug W,
