pmid,title,year,journal,authors,grants
39337294,Hepatic Proteomic Changes Associated with Liver Injury Caused by Alcohol Consumption in Fpr2-/- Mice.,2024,International journal of molecular sciences,Hardesty JE; Warner JB; Wilkey DW; Phinney BS; Salemi MR,1U01AA026980-22A1; P20 GM113226; L30 AA027913; 1R01AA023681-22A1; P50 AA024337; 1R01AA028905-24A1; 1U01AA026934-22A1; R00 AA030627; F32 AA027950; 1R00AA030627-24A1; 1F31AA028423-23A1; 1P50AA024337-24A1; 2I01CX002219-05A2; I01 CX002219; 1P20GM113226-24A1; 1F32AA027950-22A1; S10 OD021801; 1U01AA026926-22A1
39329453,Time-of-Flight Secondary Ion Mass Spectrometry Revealing the Organocatalyst Distribution in Functionalized Silica Monoliths.,2024,ChemistryOpen,Brand RD; Schulze JS; Henss A; Smarsly BM,
39304982,Temperature-dependent alterations in the proteome of the emergent fish pathogen Edwardsiella piscicida.,2025,Journal of fish diseases,Jacobsen KL; Griffin M; Phinney BS; Salemi M; Yazdi Z,S10 OD026918; T32 OD011147
39103353,Proteostasis perturbation of N-Myc leveraging HSP70 mediated protein turnover improves treatment of neuroendocrine prostate cancer.,2024,Nature communications,Xu P; Yang JC; Chen B; Ning S; Zhang X,P30 CA093373; P50 CA097186; R01 NS059690; R21 CA277171; R37CA249108; R21CA277171; HT9425-23-1-0325; HT9425-23-1-0144; HT9425-23-1-0324; R37 CA249108; R01CA251253; R01 CA251253; P01 CA163227
39073724,Liver Tissue Proteins Improve the Accuracy of Plasma Proteins as Biomarkers in Diagnosing Metabolic Dysfunction-Associated Steatohepatitis.,2024,Proteomics. Clinical applications,Sourianarayanane A; Salemi MR; Phinney BS; McCullough AJ,S10 OD021801
38951648,Transition transferases prime bacterial capsule polymerization.,2025,Nature chemical biology,Litschko C; Di Domenico V; Schulze J; Li S; Ovchinnikova OG,R01 AI149297; SD-1; 412824531; FDN-2016-148364
38905290,Correction: Comparison of the broncoalveolar lavage fluid proteomics between foals and adult horses.,2024,PloS one,Rivolta AA; Bujold AR; Wilmarth PA; Phinney BS; Navelski JP,
38798543,The balance between antiviral and antibacterial responses during M. tuberculosis infection is regulated by the ubiquitin ligase CBL.,2024,bioRxiv : the preprint server for biology,Truong T; Martin K; Salemi M; Ray A; Phinney BS,R01 AI144149
38598786,Human Keratinocyte Responses to Woodsmoke Chemicals.,2024,Chemical research in toxicology,Karim N; Yang Y; Salemi M; Phinney BS; Durbin-Johnson BP,S10 OD026918
38585836,Probe-dependent Proximity Profiling (ProPPr) Uncovers Similarities and Differences in Phospho-Tau-Associated Proteomes Between Tauopathies.,2024,bioRxiv : the preprint server for biology,Morderer D; Wren MC; Liu F; Kouri N; Maistrenko A,
38206049,Outer membrane vesicles and the outer membrane protein OmpU govern Vibrio cholerae biofilm matrix assembly.,2024,mBio,Potapova A; Garvey W; Dahl P; Guo S; Chang Y,S10 OD023528; S10 OD023528; DP2 AI138259; R01 AI152421; S10 OD023603; R01 AI114261; R01 AI087946
37894945,Mitochondrial and Proteasome Dysfunction Occurs in the Hearts of Mice Treated with Triazine Herbicide Prometryn.,2023,International journal of molecular sciences,Sule RO; Phinney BS; Salemi MR; Gomes AV,P42 ES004699; S10 OD021801
37893908,"Multi-Omic, Histopathologic, and Clinicopathologic Effects of Once-Weekly Oral Rapamycin in a Naturally Occurring Feline Model of Hypertrophic Cardiomyopathy: A Pilot Study.",2023,Animals : an open access journal from MDPI,Rivas VN; Kaplan JL; Kennedy SA; Fitzgerald S; Crofton AE,T32 HL086350; TL1 TR001861
37883444,Extracellular vesicles from mouse trophoblast cells: Effects on neural progenitor cells and potential participants in the placenta-brain axis†.,2024,Biology of reproduction,Kinkade JA; Seetharam AS; Sachdev S; Bivens NJ; Phinney BS,R01 ES025547; R01 HD096083; S10 OD021801; R01HD096083; R01 HD094937
37808283,"Characterization of the extracellular vesicles, ultrastructural morphology, and intercellular interactions of multiple clinical isolates of the brain-eating amoeba, Naegleria fowleri.",2023,Frontiers in microbiology,Russell AC; Bush P; Grigorean G; Kyle DE,
37803606,Effect of pH and protein composition on proteolysis of goat milk proteins by pepsin and pancreatin.,2023,"Food research international (Ottawa, Ont.)",Hettinga K; Pellis L; Rombouts W; Du X; Grigorean G,
37788135,Environmental pro-oxidants induce altered envelope protein profiles in human keratinocytes.,2023,Toxicological sciences : an official journal of the Society of Toxicology,Lin LW; Durbin-Johnson BP; Rocke DM; Salemi M; Phinney BS,S10 OD026918; T32 ES07059
37686279,Blood Proteome Profiling Reveals Biomarkers and Pathway Alterations in Fragile X PM at Risk for Developing FXTAS.,2023,International journal of molecular sciences,Zafarullah M; Li J; Salemi MR; Phinney BS; Durbin-Johnson BP,R01 MH078041; R01 NS110100; S10 OD026918
37669266,Comparison of the broncoalveolar lavage fluid proteomics between foals and adult horses.,2023,PloS one,Rivolta AA; Bujold AR; Wilmarth PA; Phinney BS; Navelski JP,P30 CA069533; P30 EY010572; S10 OD021801
37435391,2019 Association of Biomolecular Resource Facilities Multi-Laboratory Data-Independent Acquisition Proteomics Study.,2023,Journal of biomolecular techniques : JBT,Kirkpatrick J; Stemmer PM; Searle BC; Herring LE; Martin L,P30 CA076292; FC001999; FC001999; U24 CA199347; FC001999; S10 OD026918
37349374,Intracerebral gadolinium deposition following blood-brain barrier disturbance in two different mouse models.,2023,Scientific reports,Kromrey ML; Oswald S; Becher D; Bartel J; Schulze J,
37000833,Protein profiling of forehead epidermal corneocytes distinguishes frontal fibrosing from androgenetic alopecia.,2023,PloS one,Karim N; Mirmirani P; Durbin-Johnson BP; Rocke DM; Salemi M,R13 AR053062; S10 OD026918
